,x,y,yaw,xy err,speed_err,rewards
36,4.79798064654219,0.0031071952698269456,0.0007276328412677557,2.1691117937298714e-08,1.0,0.49899998915444105
37,4.950980611147156,0.003218523602390112,0.0007276399420508285,1.6675992263611404e-08,1.0,0.49899999166200387
38,5.086980578290045,0.0033174829459009124,0.0007276448872772789,1.3344023156087494e-08,1.0,0.49899999332798844
39,5.205980548777748,0.0034040728642201505,0.0007276482495401916,1.127100380930203e-08,1.0,0.4989999943644981
40,5.358980510091305,0.0035154032957810727,0.0007276518617649331,9.224306754735713e-09,1.0,0.4989999953878466
41,5.494980475207024,0.003614364107014878,0.0007276545073588991,7.938051968026973e-09,1.0,0.498999996030974
42,5.647980435577152,0.003725695414782394,0.0007276570185714704,7.027948130031679e-09,1.0,0.49899999648602594
43,5.76698040455385,0.003812286683758008,0.0007276587433184823,6.7125687860805985e-09,1.0,0.4989999966437156
44,5.919980364488067,0.003923618605937985,0.0007276608286894693,6.977049273504572e-09,1.0,0.49899999651147536
45,6.072980324281028,0.004034950846527501,0.0007276629467432018,9.006640693887472e-09,1.0,0.49899999549667967
46,6.208980288458601,0.004133913134116307,0.0007276653006815793,1.9204708357118717e-08,1.0,0.4989999903976458
47,6.327980257069591,0.0042205054803112095,0.0007276693477580309,3.141592603462735,1.0,-1.0717963017313674
48,6.446960792912592,0.005655075702654123,0.05672567897510916,3.0945105711217455,1.0,-1.0482552855608727
49,6.531417806737759,0.01469263823481555,0.1987606822008594,2.9873430482694037,1.0,-0.9946715241347018
50,6.62834098250028,0.04545549564415312,0.48364668606687916,2.781376847961062,1.0,-0.891688423980531
51,6.709485692098285,0.106206334755986,0.8769076828774969,2.5064352508743326,1.0,-0.7542176254371663
52,6.760167808236957,0.19393184293171406,1.2849076828389148,2.244554719966258,1.0,-0.623277359983129
53,6.766599281930026,0.3281330555445412,1.8289076827918223,1.9153264010741236,1.0,-0.4586632005370618
54,6.691119815900018,0.45868313567076574,2.4219512685597078,1.574521642951317,1.0,-0.28826082147565846
55,6.556675764659457,0.528021505833036,2.9434847001401376,1.3068054286370785,1.0,-0.15440271431853925
56,6.43836326126955,0.5337057340956531,-3.005582509910304,1.17174500570206,1.0,-0.08687250285102999
